agency,county,item,quantity,date_received,total_cost
BELMAR POLICE DEPT,MONMOUTH,"TOOL KIT,CARPENTER'S",2,8/5/14,"$6,051.36 "
BELMAR POLICE DEPT,MONMOUTH,"SHOP EQUIPMENT,AUTOMOTIVE VEHICLE",1,8/5/14,"$29,395.00 "
BELMAR POLICE DEPT,MONMOUTH,TRUCK TRACTOR,1,8/6/14,"$70,832.00 "
BELMAR POLICE DEPT,MONMOUTH,KITCHEN HAND TOOLS AND UTENSILS,1,9/24/14,$11.00 
BELMAR POLICE DEPT,MONMOUTH,"OUTERWEAR, MEN'S",100,9/3/14,"$10,000.00 "
BELMAR POLICE DEPT,MONMOUTH,"FAX MACHINE, DIGITAL",1,9/3/14,$300.00 
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,9/5/14,"$32,990.00 "
BELMAR POLICE DEPT,MONMOUTH,"FORKLIFT,ROUGH TERR",1,9/29/14,"$43,250.00 "
BELMAR POLICE DEPT,MONMOUTH,"BUILDING COMPONENTS, PREFABRICATED",111,9/4/14,"$1,110.00 "
BELMAR POLICE DEPT,MONMOUTH,"VEHICLE,ALL-TERRAIN",4,9/3/14,"$21,354.36 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
