agency,address,county,item,quantity,date_received,total_cost
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/21/14,"$41,061.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/21/14,"$41,447.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/21/14,"$41,061.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,VAN",1,9/5/14,"$135,122.00 "
BROOKLAWN POLICE DEPT,"305 Haakon Rd, Brooklawn, NJ 08030",CAMDEN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
BROOKLAWN POLICE DEPT,"305 Haakon Rd, Brooklawn, NJ 08030",CAMDEN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
CAMDEN COUNTY SHERIFF DEPT,"800 Federal St, Camden, NJ 08103",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CAMDEN COUNTY SHERIFF DEPT,"800 Federal St, Camden, NJ 08103",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CAMDEN COUNTY SHERIFF DEPT,"800 Federal St, Camden, NJ 08103",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CAMDEN COUNTY SHERIFF DEPT,"800 Federal St, Camden, NJ 08103",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CAMDEN COUNTY SHERIFF DEPT,"800 Federal St, Camden, NJ 08103",CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"GOGGLES,INDUSTRIAL",1,2/15/14,$63.17 
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"GOGGLES,INDUSTRIAL",15,2/15/14,$947.55 
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,DUMP",1,5/8/14,"$84,554.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,DUMP",1,5/8/14,"$84,554.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,DUMP",1,6/3/14,"$89,115.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",CAPE MAY,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
