agency,county,item,quantity,cost,date
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/12/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/12/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/12/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/12/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/12/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/12/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,6/12/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,6/12/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,6/12/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,6/12/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,6/12/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,6/12/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/15/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/15/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/15/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,6/15/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,7/6/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,11/15/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,11/15/06
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,11/15/06
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,9/29/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,9/29/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,9/29/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,9/29/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,CAMDEN,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/1/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/16/08
,CAMDEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/16/08
,CAMDEN,"HELMET,GROUND TROOP",10,$150.29,2/23/95
,CAMDEN,VEST,1,$110.00,2/23/95
,CAMDEN,"BODY ARMOR,FRAGMENT",20,$35.92,11/17/95
,CAMDEN,"BODY ARMOR,FRAGMENT",13,$35.92,11/20/95
,CAMDEN,"BODY ARMOR,FRAGMENT",2,$102.57,3/4/96
,CAMDEN,"BODY ARMOR,FRAGMENT",3,$350.57,3/6/96
,CAMDEN,"CARRIER, FIELD CHEMI",250,$15.25,6/10/96
,CAMDEN,"HELMET,GROUND TROOP",5,$150.29,8/22/96
,CAMDEN,"HELMET,GROUND TROOP",20,$150.29,8/22/96
,CAMDEN,"HELMET,GROUND TROOP",2,$148.87,9/11/96
,CAMDEN,"HELMET,GROUND TROOP",2,$148.87,9/13/96
,CAMDEN,"HELMET,GROUND TROOP",5,$148.87,9/13/96
,CAMDEN,"HELMET,GROUND TROOP",9,$148.87,10/1/96
,CAMDEN,"TOOL KIT,EXPLOSIVE ",2,"$25,898.00",11/19/96
,CAMDEN,"HOOD,CHEMICAL-BIOLO",100,$17.55,1/17/97
,CAMDEN,"BODY ARMOR,FRAGMENT",5,$35.92,3/11/97
,CAMDEN,"BODY ARMOR,FRAGMENT",5,$35.92,3/13/97
,CAMDEN,"HELMET,GROUND TROOP",15,$150.29,3/17/97
,CAMDEN,"HELMET,GROUND TROOP",100,$150.29,4/2/97
,CAMDEN,"MASK,CHEMICAL-BIOLO",90,$93.32,4/3/97
,CAMDEN,FILTER CHEMICAL,29,$4.87,6/1/98
,CAMDEN,"HELMET,GROUND TROOP",1,$148.87,6/1/98
,CAMDEN,"MASK,CHEMICAL-BIOLO",10,$93.32,6/1/98
,CAMDEN,"FACESHIELD, MILITARY, RIOT CONTROL",7,$18.29,6/2/98
,CAMDEN,"MASK,CHEMICAL-BIOLO",30,$93.32,6/2/98
,CAMDEN,"BODY ARMOR,FRAGMENT",4,$32.00,4/19/99
,CAMDEN,"HELMET,GROUND TROOP",7,$150.29,4/19/99
,CAMDEN,BAYONET-KNIFE      ,20,$24.56,5/4/99
,CAMDEN,"SUPPORT,CAMOUFLAGE SCREENING SYS",1,$166.50,6/3/99
,CAMDEN,BULLETT PROOF VEST,15,$568.00,4/7/00
,CAMDEN,"MASK,CHEMICAL-BIOLO",5,$93.32,4/7/00
,CAMDEN,BULLETT PROOF VEST,4,$610.00,4/16/00
,CAMDEN,BODY ARMOR,100,$398.85,7/26/00
,CAMDEN,"BODY ARMOR,FRAGMENT",3,$36.26,7/26/00
,CAMDEN,"MASK,CHEMICAL-BIOLO",149,$93.32,7/28/00
,CAMDEN,"MASK,CHEMICAL-BIOLO",149,$93.32,7/28/00
,CAMDEN,"BODY ARMOR,FRAGMENT",5,$36.26,7/29/00
,CAMDEN,"BARREL ASSEMBLY,RIF",1,$90.97,11/27/02
,CAMDEN,PROJECTOR HEARING,13,$1.96,1/9/03
,CAMDEN,"BODY ARMOR,FRAGMENT",4,$35.92,3/9/06
,CAMDEN,"BODY ARMOR,FRAGMENT",6,$35.92,3/9/06
,CAMDEN,"BODY ARMOR,FRAGMENT",6,$35.92,3/9/06
,CAMDEN,TRUCK CARGO,1,"$8,823.00",11/16/06
BROOKLAWN POLICE DEPARTMENT,CAMDEN ,"TRUCK,AMBULANCE    ",1,"$13,737.00",3/4/98
CAMDEN CO PROSECUTOR OFFICE,CAMDEN ,GENERATOR,1,"$15,395.00",3/17/97
CAMDEN CO PROSECUTOR OFFICE,CAMDEN ,"TEST SET,NAVIGATION",1,"$10,243.35",3/17/97
CAMDEN CO PROSECUTOR OFFICE,CAMDEN ,"TRAILER, GROUND HANDLING",1,"$16,000.00",3/17/97
CAMDEN COUNTY SHERIFF DEPARTMENT,CAMDEN ,"COVERALLS,FLYERS'",22,$105.25,8/24/98
CAMDEN COUNTY SHERIFF DEPARTMENT,CAMDEN ,TYPEWRITER,3,$575.00,4/15/99
CAMDEN COUNTY SHERIFF DEPARTMENT,CAMDEN ,5.56 CONTAINERS,20,$1.00,4/27/99
CAMDEN COUNTY SHERIFF DEPARTMENT,CAMDEN ,"HOOD,COMBAT VEHICLE CREWMEN'S CO",5,$34.60,6/3/99
CAMDEN COUNTY SHERIFF DEPARTMENT,CAMDEN ,"HELMET,FLYER'S     ",10,$212.01,10/14/99
CAMDEN COUNTY SHERIFF DEPARTMENT,CAMDEN ,"TELESCOPE,STRAIGHT",2,$442.00,4/14/00
CAMDEN COUNTY SHERIFF DEPARTMENT,CAMDEN ,"HELMET,FLYER'S     ",4,$212.01,4/18/00
MIDDLE TOWNSHIP POLICE DEPARTMENT,CAPE MAY,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,"$20,810.00",5/20/13
MIDDLE TOWNSHIP POLICE DEPARTMENT,CAPE MAY,"GENERATOR SET,DIESEL ENGINE",1,"$14,891.00",8/1/13
MIDDLE TOWNSHIP POLICE DEPARTMENT,CAPE MAY,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,"$20,810.00",8/1/13
MIDDLE TOWNSHIP POLICE DEPARTMENT,CAPE MAY,HOSPITAL CART,1,$0.00,1/14/14
NORTH WILDWOOD POLICE DEPARTMENT,CAPE MAY,"SEMITRAILER,VAN    ",1,"$52,730.00",2/8/12
SEA ISLE CITY POLICE DEPARTMENT,CAPE MAY,TYPEWRITER,1,$692.00,5/7/98
WILDWOOD POLICE DEPARTMENT,CAPE MAY,"TRACTOR,WHEELED,INDUSTRIAL",1,"$185,000.00",3/28/13
WILDWOOD POLICE DEPARTMENT,CAPE MAY,"LOADER,SCOOP TYPE",1,"$58,890.00",5/21/13
WILDWOOD POLICE DEPARTMENT,CAPE MAY,"FLOODLIGHT SET,ELECTRIC",1,$0.00,9/26/13
WILDWOOD POLICE DEPARTMENT,CAPE MAY,"FLOODLIGHT SET,ELECTRIC",1,$0.00,9/26/13
,CAPE MAY,"TRUCK,UTILITY",1,"$25,000.00",1/11/12
,CAPE MAY,"TRUCK,UTILITY",1,"$25,000.00",2/16/12
,CAPE MAY,"TRUCK,UTILITY",1,"$44,722.00",2/16/12
,CAPE MAY,"TRUCK,UTILITY",1,"$44,722.00",2/16/12
,CAPE MAY,"TRUCK,UTILITY",1,"$60,566.00",2/22/12
,CAPE MAY,"TRUCK,UTILITY",1,"$60,566.00",2/22/12
,CAPE MAY,"TRUCK,UTILITY",1,"$55,500.00",3/17/12
,CAPE MAY,"TRUCK,UTILITY",1,"$47,989.00",3/17/12
,CAPE MAY,"TRUCK,UTILITY",1,"$25,000.00",3/21/13
,CAPE MAY,"TRUCK,UTILITY",1,"$25,000.00",3/21/13
,CAPE MAY,"TRUCK,CARGO",1,"$93,149.00",4/15/13
,CAPE MAY,"RACK,STORAGE,SMALL ARMS",2,$431.09,6/10/13
,CAPE MAY,"TRUCK,CARGO",1,"$67,139.00",7/2/13
,CAPE MAY,"TRUCK,CARGO",1,"$67,139.00",7/2/13
,CAPE MAY,"TRUCK,CARGO",1,"$72,040.00",8/23/13
,CAPE MAY,"TRUCK,UTILITY",1,"$44,722.00",8/23/13
,CAPE MAY,"TRUCK,UTILITY",1,"$39,441.00",8/23/13
,CAPE MAY,"TRUCK,UTILITY",1,"$39,052.00",8/27/13
,CAPE MAY,"TRUCK,UTILITY",1,"$39,052.00",8/27/13
,CAPE MAY,"TRUCK,UTILITY",1,"$39,052.00",8/27/13
,CAPE MAY,"TRUCK,UTILITY",1,"$47,989.00",8/27/13
,CAPE MAY,"TRUCK,UTILITY",1,"$47,989.00",8/27/13
,CAPE MAY,"TRUCK,UTILITY",1,"$47,069.00",8/27/13
,CAPE MAY,"TRUCK,UTILITY",1,"$47,989.00",8/27/13
,CAPE MAY,"TRUCK,CARGO",1,"$72,040.00",10/15/13
,CAPE MAY,"TRUCK,UTILITY",1,"$39,052.00",10/28/13
,CAPE MAY,"TRUCK,UTILITY",1,"$39,052.00",10/29/13
,CAPE MAY,TRUCK TRACTOR,1,"$57,454.00",10/31/13
,CAPE MAY,TRUCK TRACTOR,1,"$57,454.00",11/7/13
,CAPE MAY,"TRUCK,UTILITY",2,"$47,989.00",11/7/13
,CAPE MAY,"TRUCK,DUMP",1,"$72,425.00",11/21/13
,CAPE MAY,TRUCK TRACTOR,3,"$70,832.00",11/25/13
,CAPE MAY,"TRUCK,WRECKER",1,"$168,960.00",12/12/13
,CAPE MAY,"TRUCK,WRECKER",1,"$168,960.00",12/12/13
,CAPE MAY,"TRUCK,UTILITY",1,"$47,989.00",12/18/13
,CAPE MAY,"GOGGLES,INDUSTRIAL",15,$63.17,1/8/14
,CAPE MAY,"GOGGLES,INDUSTRIAL",1,$63.17,1/8/14
,CAPE MAY,"MAGAZINE,CARTRIDGE",100,$9.98,1/8/14
,CAPE MAY,TRUCK TRACTOR,1,"$75,553.88",1/17/14
,CAPE MAY,"TRUCK,DUMP",1,"$84,554.00",1/27/14
,CAPE MAY,"TRUCK,DUMP",1,"$84,554.00",1/27/14
,CAPE MAY,"TRUCK,DUMP",1,"$89,115.00",1/27/14
,CAPE MAY,"RACK,STORAGE,SMALL ARMS",2,$448.22,2/11/14
,CAPE MAY,"TRUCK,UTILITY",1,"$47,989.00",2/28/14
,CAPE MAY,"TRUCK,UTILITY",1,"$47,455.00",2/28/14
,CAPE MAY,"TRUCK,UTILITY",1,"$47,989.00",2/28/14
,CAPE MAY,"TRUCK,UTILITY",1,"$44,722.00",2/28/14
,CAPE MAY,BINOCULAR,1,$300.00,6/28/95
,CAPE MAY,"TRUCK,DUMP         ",1,"$89,115.00",2/22/12
,CAPE MAY,"TRUCK,DUMP         ",1,"$84,554.00",4/11/12
,CAPE MAY,"TRUCK,DUMP         ",1,"$84,554.00",4/11/12
AVALON POLICE  DEPARTMENT,CAPE MAY ,"FLOODLIGHT SET,ELECTRIC",5,"$18,400.00",12/12/13
CAPE MAY COUNTY PROSECUTOR,CAPE MAY ,"CHEST,AMMUNITION",144,$11.10,8/21/13
CAPE MAY COUNTY PROSECUTOR,CAPE MAY ,"CHEST,AMMUNITION",144,$11.10,10/22/13
CAPE MAY COUNTY PROSECUTOR,CAPE MAY ,ELECTRIC LIGHTING FIXTURES,1,$0.00,10/22/13
CAPE MAY COUNTY SHERIFF DEPARTMENT,CAPE MAY ,CLOTHING,1,"$1,000.00",5/19/99
CAPE MAY COUNTY SHERIFF DEPARTMENT,CAPE MAY ,"CLOTHING,",1,"$2,280.00",5/19/99
MILLVILLE POLICE DEPARTMENT,CUMBERLAND,RECEIVER-TRANSMITTE,2,"$4,129.21",2/24/95
MILLVILLE POLICE DEPARTMENT,CUMBERLAND,COAT,5,$34.00,10/1/97
MILLVILLE POLICE DEPARTMENT,CUMBERLAND,"PARKA, COLD WEATHER",20,$161.75,10/1/97
MILLVILLE POLICE DEPARTMENT,CUMBERLAND,GENERATOR,1,"$1,149.00",11/19/97
MINE HILL POLICE DEPARTMENT,CUMBERLAND,MITTEN,15,$5.00,12/7/94
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,9/30/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,10/2/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,10/2/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,10/2/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,10/2/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,10/2/08
,CUMBERLAND,"RIFLE,5.56 MILLIMETER",1,$499.00,10/2/08
,CUMBERLAND,"RIFLE,7.62 MILLIMETER",1,$138.00,10/2/08
,CUMBERLAND,"RIFLE,7.62 MILLIMETER",1,$138.00,10/2/08
,CUMBERLAND,"MASK,CHEMICAL-BIOLO",30,$93.32,4/18/95
,CUMBERLAND,"RACK, STORAGE, SMALL ARMS",3,$223.33,10/1/97
,CUMBERLAND,"HELMET,GROUND TROOP",14,$148.87,10/21/97
,CUMBERLAND,"HELMET,GROUND TROOP",54,$150.29,10/21/97
,CUMBERLAND,"MASK,CHEMICAL-BIOLO",68,$93.32,10/21/97
,CUMBERLAND,"BODY ARMOR,FRAGMENT",5,$35.92,11/4/97
,CUMBERLAND,"BIPOD,RIFLE        ",2,$24.69,11/19/97
,CUMBERLAND,"MAGAZINE,CARTRIDGE ",116,$9.31,11/19/97
,CUMBERLAND,"FILTER ELEMENT SET,",98,$20.42,11/25/97
,CUMBERLAND,"VALVE,INLET,CHEMICA",24,$23.04,11/25/97
ESSEX CO DEPARTMENT OF PUBLIC SAFETY,ESSEX,BUS,1,"$73,310.00",8/7/03
ESSEX CO DEPARTMENT OF PUBLIC SAFETY,ESSEX,BUS,1,"$73,310.00",8/7/03
ESSEX CO PROSECUTOR,ESSEX,COVERALL,5,$80.00,10/3/94
ESSEX COUNTY SHERIFF DEPARTMENT,ESSEX,METAL DETECTOR,50,"$3,600.00",12/13/13
FBI NEWARK,ESSEX,TOOL KIT,1,$100.00,5/13/96
FBI NEWARK,ESSEX,COAT,2,$10.00,5/15/96
FBI NEWARK,ESSEX,COMPUTER,1,"$1,524.00",5/15/96
FBI NEWARK,ESSEX,SHELTER,5,$76.00,5/15/96
FBI NEWARK,ESSEX,SLEEPING BAG,1,$76.65,5/15/96
FBI NEWARK,ESSEX,TOOL KIT,3,$50.00,5/15/96
FBI NEWARK,ESSEX,TOOL KIT,4,$100.00,5/15/96
FBI NEWARK,ESSEX,COMPASS RANGER SILVA,1,$40.00,4/4/08
FBI NEWARK,ESSEX,COMPASS WRIST,2,$10.89,4/4/08
FBI NEWARK,ESSEX,COMPASS WRIST,2,$10.89,4/4/08
FBI NEWARK,ESSEX,SLEEPING BAG  CIVILIAN,8,$260.00,5/2/08
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"COMPASS,MAGNETIC,UNMOUNTED",3,"$4,141.57",1/31/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,VOLTMETER,1,$640.94,2/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,VOLTMETER,2,$260.74,2/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MULTIMETER,6,"$1,157.00",2/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",6,$350.00,2/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HARNESS,FLOTATION COLLAR",100,$69.02,2/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,FSBE,PLATOON B",8,"$81,197.58",2/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"SUCTION APPARATUS,SURGICAL",1,$514.58,2/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BREATHING APPARATUS,EMERGENCY",40,$479.06,2/17/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BAG,INDIVIDUAL EQUIPMENT,CARRIER",4,$15.58,2/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HARDWARE KIT,NVG",25,$4.20,2/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIGHT,MARKER,GROUND OBSTRUCTION",6,$277.34,2/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LIGHT,MTD HELMET EP",10,$176.14,2/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,TENT,3,"$1,473.03",2/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PACK,ASSAULT",25,$263.81,2/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"POUCH,FRAG GRENADE,SINGLE",24,$18.81,2/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"POUCH,SINGLE MAGAZINE",24,$14.87,2/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,CLIMBERS'",2,$94.77,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,FLYERS'",1,$181.91,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,ICW,SAFETYTOE",1,$141.51,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,SAFETY,MEN'S",1,$92.29,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,SAFETY,MEN'S",1,$92.29,2/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,CLIMBERS'",2,$72.66,2/28/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"ROPE,FIBROUS",1,$198.42,2/28/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,SETSCREW,10,$58.28,2/28/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"CASE,WATERPROOF,NIGHT HUNTERII",11,$302.00,3/1/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,SPINEBOARD,3,$160.51,3/1/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,CLIMBERS'",2,$72.66,3/2/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,DUAL,COM,LF,RG",4,"$1,174.20",3/4/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PITON,MOUNTAIN",50,$14.02,3/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PITON,MOUNTAIN",50,$6.89,3/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RADIO,GPS HANDHELD",2,$289.87,3/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"STOPPER,MOUNTAIN",28,$3.04,3/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"TELESCOPE,STRAIGHT",3,$0.00,3/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FIBERSCOPE,1,"$16,000.00",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,DUAL,COM,LF,RG",5,"$1,174.20",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MEDICAL MONITOR,1,"$4,500.00",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,"$8,360.10",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,"$8,360.10",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,"$8,360.10",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,"$8,360.10",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,"$8,360.10",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,"$8,360.10",3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FLASHLIGHT,5,$152.07,3/8/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MULTIMETER,8,$542.27,3/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BINOCULAR,2,$84.79,3/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BOOTS,COMBAT",2,$96.80,3/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,HEADSET-MICROPHONE,1,"$2,357.08",3/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"EXTENSION,SOCKET WRENCH",3,$6.44,3/14/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"HANDLE,SOCKET WRENCH",3,$22.41,3/14/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FORCED ENTRY AND RESCUE EQUIPMENT,AIRCRAFT CRASH",1,$0.00,3/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PROBE,MINE",36,$59.87,3/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,PLIERS,9,$7.90,3/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"WRENCH,OPEN END BOX",1,$32.20,3/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PLIERS,DIAGONAL CUTTING",3,$16.56,3/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"SCREWDRIVER ATTACHMENT,SOCKET WRENCH",3,$3.47,3/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"SOCKET,SOCKET WRENCH",3,$5.16,3/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"SOCKET,SOCKET WRENCH",2,$3.00,3/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"SOCKET,SOCKET WRENCH",2,$6.35,3/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,TOOL AND HARDWARE BOXES,2,"$2,000.00",3/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"WRENCH,OPEN END",2,$4.52,3/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,FIBERSCOPE,1,"$15,548.00",3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FLOOR,TENT",8,$162.41,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"FLOOR,TENT",6,$316.66,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"SAW,CIRCULAR,GASOLINE,PORTABLE",1,"$1,846.41",3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,TENT LINER,6,$353.36,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,TENT LINER,8,$263.40,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"TENT,MODULAR,GENERAL PURPOSE SYSTEM",3,"$9,690.68",3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"WRENCH SET,SOCKET",1,$63.27,3/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,BORESCOPE,2,"$10,620.00",3/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"BANDAGE KIT,ELASTIC",50,$7.00,3/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"KIT,SINGLE,COMM,L,R",7,$984.30,3/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"LAMP,INCANDESCENT",9,$339.41,3/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PROJECTOR,MULTIMEDIA",1,"$7,680.15",3/27/13
